============================================================
  万象影视 - 可用 Apple CMS 影视源列表
  来源: https://cdn.45678888.xyz/fx/  (共87个接口)
  检测时间: 2026-07-03 20:28:51
============================================================

共发现 279 个独立的 Apple CMS 源

使用方法:
1. 打开 App → 影视设置 → 资源列表
2. 点击添加 → 输入名称和 URL
3. 或者保存为 TXT 文件批量导入

TXT 批量导入格式 (每行: name,url):
----------------------------------------
左岸,http://103.97.176.128:9528/api.php/provide/vod/
[Live] 驸马影视•港澳台,http://110.185.171.226:93/dsch/gat.txt
🍳江湖官采(官),http://119.29.1.173/api.php/provide/vod/
AI1,http://124.222.116.5/macos/seven/api.php/provide/vod/
[Live] 牛播一(新版影视仓/ok影视),http://127.0.0.1:9978/proxy?do=饭太硬&type=liveList
影视 | 建安,http://154.219.117.232:9981/jacloudapi.php/provide/vod
业余自营,http://154.3.2.163/api.php/provide/vod/
[Live] live,http://23.224.143.163:2202/vip/ku9.txt
🥒土狗 360(官),http://360.tgzy.cc/api.php/provide/vod/
🥭西柚影视(优),http://43.135.75.180:9999/api.php/provide/vod/
🍌每天看看(优),http://47.113.126.237:1234/api.php/provide/vod/
[Live] 平台直播,http://47.120.41.246:8025/vip/jar/zb.php
🌭MX 影院(聚),http://49.235.107.145:81/api.php/provide/vod/
🥤阿里影视(聚),http://aliys.cn:90/api.php/provide/vod/
忆梦资源,http://anltv.cn/api.php/provide/vod/
1080zyku,http://api.1080zyku.com/inc/api_mac10.php
非凡资源,http://api.ffzyapi.com/api.php/provide/vod/?ac=list
🎀光速┃采集,http://api.guangsuapi.com/api.php/provide/vod/
海外看[翻墙],http://api.haiwaikan.com/v1/vod
新浪资源,http://api.xinlangapi.com/xinlangapi.php/provide/vod/
影视 | 电影天堂,http://caiji.dyttzyapi.com/api.php/provide/vod
电影天堂,http://caiji.dyttzyapi.com/api.php/provide/vod/?ac=list
电影天堂,http://caiji.dyttzyapi.com/api.php/provide/vod/at/xml/
🍑诺讯资源(官),http://caiji.nxflv.com/api.php/provide/vod/
🍟雨哥影视(聚),http://cj.baozi66.top:66/api.php/provide/vod/
✅非凡┃影视,http://cj.ffzyapi.com//api.php/provide/vod
非凡,http://cj.ffzyapi.com/api.php/provide/vod/
🍭非凡┃采集,http://cj.ffzyapi.com/api.php/provide/vod/at/xml/
非凡资源,http://cj.ffzyapi.com/api.php/provide/vod/from/ffm3u8/
🐝量子资源,http://cj.lziapi.com/api.php/provide/vod/
影视 | 非凡[直连],http://ffzy.tv/api.php/provide/vod/
非凡影视,http://ffzy5.tv/api.php/provide/vod/?ac=list
🔞番号资源,http://fhapi9.com/api.php/provide/vod/
🐝飞速资源,http://fszy1.com/api.php/provide/vod/
[Live] TXT,http://home.jundie.top:81/Cat/tv/live.txt
AIvin,http://lbapiby.com/api.php/provide/vod/at/xml
🍧铭轩影视(聚),http://lz0716.com/api.php/provide/vod/
(18+)JAV名优,http://mygzycj.com/api.php?ac=list
[Live] 极直播电视(php),http://php.cqshushu.ggff.net/jzb.php?公众号【医工学习日志】
[Live] 88KQ,http://php.cqshushu.ggff.net/kqt.php?公众号【医工学习日志】
[Live] 港澳台,http://rihou.cc:567/gggg.nzk
快鹰资源,http://savviuux.hk3.345888.xyz.cdn.cloudflare.net/api.php/provide/vod/
闪电|点播,http://sdzyapi.com/api.php/provide/vod/
速播,http://suboziyuan.net/api.php/provide/vod/
🥗天天影视(聚),http://tttv.cf/api.php/provide/vod/
[Live] 平台直播,http://tv.iill.top/m3u/Live
🍬海玉影视(聚),http://tv2.hykjtv.cn/api.php/provide/vod/
🥑盘看影视(聚),http://tvcaiji.pankk.cn/api.php/provide/vod/
影视 | 天涯,http://tyyszy.com/api.php/provide/vod
🥫幻风影视(聚),http://vip857.top/api.php/provide/vod/
🌶天堂资源(官),http://vipmv.cc/api.php/provide/vod/
飘花|点播,http://www.ahjiuman.com/api.php/provide/vod/at/json
腐剧|点播,http://www.fuju2024.cc:8013/ruifenglb_api.php/provide/vod/
量子资源,http://www.lzzy.tv/api.php/provide/vod/
🍱千寻时光(聚),http://wy.dqyhg.cn/api.php/provide/vod/
🍠波比影视(优),http://xxhhsc.top/api.php/provide/vod/
🍚小鸟动漫(聚),http://xydm.baicai.buzz/api.php/provide/vod/
🍨百淘影视(聚),http://ys.58g8.com/api.php/provide/vod/
最大|点播,http://zuidazy.me/api.php/provide/vod/
[Live] live.feimao,http://我不是.肥猫.live/TV/tvzb.txt
✅360┃资源,https://360zy.com/api.php/provide/vod
360资源,https://360zy.com/api.php/provide/vod/?ac=list
🦚360┃采集,https://360zy.com/api.php/provide/vod?
49资源网,https://49zyw.com/api.php/provide/vod/
91精品,https://91jpzyw.com/api.php/provide/vod/at/json
*91麻豆,https://91md.me/api.php/provide/vod/
🥬多多资源2(优),https://a.7dyu.cn/api.php/provide/vod/
[Live] 直播,https://agit.ai/Yoursmile7/TVBox/raw/branch/master/live.txt
🐝麻花资源,https://api.1080zyku.com/inc/api_mac10.php
优质资源网,https://api.1080zyku.com/inc/apijson.php
百度云资源,https://api.apibdzy.com/api.php/provide/vod/
百度资源,https://api.apibdzy.com/api.php/provide/vod/?ac=list
百度,https://api.apibdzy.com/api.php/provide/vod?ac=list
成人71,https://api.apilyzy.com/api.php/provide/vod/
🔞花椒资源,https://api.apilyzy.com/api.php/provide/vod/at/xml/
光速资源,https://api.guangsuapi.com/api.php/provide/vod/
爱狗,https://api.i2g.cn/api.php/provide/vod/
快帆,https://api.kuaifan.tv/api.php/provide/vod
猫眼,https://api.maoyanapi.top/api.php/provide/vod
牛牛|点播,https://api.niuniuzy.me/api.php/provide/vod/
🐝ok资源,https://api.okzy.org/api.php/provide/vod/
*色南国资源,https://api.sexnguon.com/api.php/provide/vod/
天空资源,https://api.tiankongapi.com/api.php/provide/vod/
U酷|点播,https://api.ukuapi.com/api.php/provide/vod/
影视 | 尤酷[直连],https://api.ukuapi.com/api.php/provide/vod/?ac=list
U酷资源,https://api.ukuapi88.com/api.php/provide/vod/?ac=list
无尽|点播,https://api.wujinapi.com/api.php/provide/vod/
无尽资源,https://api.wujinapi.me/api.php/provide/vod/
无尽资源,https://api.wujinapi.me/api.php/provide/vod/?ac=list
旺旺资源,https://api.wwzy.tv/api.php/provide/vod/?ac=list
C K 资源,https://api.xinlangapi.com/xinlangapi.php/provide/vod
新浪|点播,https://api.xinlangapi.com/xinlangapi.php/provide/vod/
新浪资源,https://api.xinlangapi.com/xinlangapi.php/provide/vod/at/xml/
🔞易看资源,https://api.yikanapi.com/api.php/provide/vod/
🐝鱼乐资源,https://api.ylzy.me/api.php/provide/vod/
云解析资源网,https://api.yparse.com/api/json
柚子资源,https://api.yzzy-api.com/inc/api.php
优质资源,https://api.yzzy-api.com/inc/apijson.php?ac=list
最大资源,https://api.zuidapi.com/api.php/provide/vod/
最大资源,https://api.zuidapi.com/api.php/provide/vod/?ac=list
💞探探资源💞,https://apittzy.com/api.php/provide/vod/
暴风影音,https://app.bfzyapi.com/api.php/provide/vod/
[Live] 冰 茶,https://bc.188766.xyz/?ip=&mishitong=true&mima=mianfeibuhuaqian&json=true
暴風,https://bfzyapi.com/api.php/provide/vod
暴风|点播,https://bfzyapi.com/api.php/provide/vod/
影视 | 暴風[直连],https://bfzyapi.com/api.php/provide/vod/?ac=list
豆瓣资源,https://caiji.dbzy5.com/api.php/provide/vod/at/josn/
快车资源,https://caiji.kczyapi.com/api.php/provide/vod/
快车|点播,https://caiji.kczyapi.com/api.php/provide/vod/from/kcm3u8/
快车资源,https://caiji.kuaichezy.org/api.php/provide/vod/?ac=list
茅台资源,https://caiji.maotaizy.cc/api.php/provide/vod/?ac=list
影剧资源,https://caiji.maotaizy.cc/api.php/provide/vod/at/josn/
魔都|点播,https://caiji.moduapi.cc/api.php/provide/vod/
奶茶资源(已修复),https://caiji.naichaapi.com/inc/api.php
奇虎,https://caiji.qhzyapi.com/api.php/provide/vod/
全站资源,https://caiji.yueai55.cc:2277/yuelove.php/provide/vod/
[Live] Guovin,https://cdn.jsdelivr.net/gh/Guovin/iptv-api@gd/output/result.m3u
影视 | 量子[直连],https://cj.lziapi.com/api.php/provide/vod/
量子资源,https://cj.lziapi.com/api.php/provide/vod/?ac=list
✅量子┃影视,https://cj.lziapi.com/api.php/provide/vod/at/xml/
🔥如意┃采集,https://cj.rycjapi.com/api.php/provide/vod/
如意资源,https://cj.rycjapi.com/api.php/provide/vod/?ac=list
如意资源,https://cj.rycjapi.com/api.php/provide/vod/at/xml/
影图|点播,https://cj.vodimg.top/api.php/provide/vod/
丫丫|点播,https://cj.yayazy.net/api.php/provide/vod/
CK资源,https://ckzy.me/api.php/provide/vod/
卧龙资源,https://collect.wolongzy.cc/api.php/provide/vod/
卧龙资源,https://collect.wolongzy.cc/api.php/provide/vod/?ac=list
卧龙|点播,https://collect.wolongzyw.com/api.php/provide/vod/
🔞大地av,https://dadiapi.com/apple_m3u8.php
豆瓣资源,https://dbzy.tv/api.php/provide/vod/?ac=list
蛋蛋魔法,https://ddmf.net/api.php/provide/vod
[Live] migu,https://develop202.github.io/migu_video/interface.txt
我的TV,https://dy.7772888.xyz/api.php/tvbox
[Live] live,https://epg.pw/test_channels.m3u
[Live] live.ipv6,https://fanmingming.com/txt?url=https://live.fanmingming.com/tv/m3u/ipv6.m3u
[Live] 驸马影视•ITV,https://fastgit.cc/https://raw.githubusercontent.com/iTCoffe/Collect-iTV/main/Internet_iTV.m3u
[Live] (直播)SMT(py),https://gcore.jsdelivr.net/gh/doubebly/TVlogo/smt.txt
[Live] LIVE_fan,https://gh-proxy.com/https://raw.githubusercontent.com/wwb521/live/main/tv.m3u
[Live] LIVE,https://gh-proxy.com/https://raw.githubusercontent.com/wwb521/live/refs/heads/main/tv.m3u
